New Dwelling Completion (Number) by Local Authority and Quarter,,,,,,,,,,,,
 ,2017Q1,2017Q2,2017Q3,2017Q4,2018Q1,2018Q2,2018Q3,2018Q4,2019Q1,2019Q2,2019Q3,2019Q4
All Local Authorities,2767,3266,3773,4558,3469,4400,4638,5445,4256,4837,5698,6450
